Code;Commutator code ;Electric Diagram ;Name;Volume (market);Brand;Cluster Description;Eprel Clusters;Controller;Function Type;Type;Buffle ;Insulation Code ;Insulation Desc.;Type of Lamps ;Lamp Code ;Lamp Power ;Upper Resistance ;Upper Heater Power;Upper Heater Surface Load ;Lower Resistance;Lower Heater Power;Lower Heater  Surface Load ;Cavity Resistance Code;Cavity Heater Power;Cavity Heater Surface Load ;Cooling Fan;Cooling Fan Power ;Cavity Fan;Cavity Fan Power ;Turnspit;Number of glass;Cavity Type ;Ventilation Channel ;ECO Program ;Chimney
33702941;42814656;41011130;FCS 100 X/E1;2230;Candy;HALINO CATA;;No timer (2 knobs);Static;MN07;No Buffle;42830033;Yellow Glasswool (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825246;1000W;3.86 W/cm2;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33702943;42814656;41011130;FCS 100 W/E1;1000;Candy;HALINO CATA;;No timer (2 knobs);Static;MN07;No Buffle;42830033;Yellow Glasswool (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825246;1000W;3.86 W/cm2;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703019;70004134;42828557;FCT200X/E;170;Candy;HALINO CATA;CMFS4X/1/E;No timer (2 knobs);Static;MR07;No Buffle;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703188;42814656;41011130;FCP100X/E;;Candy;HALINO CATA;;No timer (2 knobs);Static;MN07;No Buffle;42830033;Yellow Glasswool (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825246;1000W;3.86 W/cm2;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703201;70004134;42828557;FCS 201 X/E/;;Candy;HALINO CATA;CMFS4X/1/E;No timer (2 knobs);Static;MR07;No Buffle;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703242;42814656;41011130;FCS 100 X /E;;Candy;HALINO CATA;FCS100N/E;No timer (2 knobs);Static;MN07;No Buffle;42830033;Yellow Glasswool (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825246;1000W;3.86 W/cm2;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33701537;42815790;41007113;FCP602X;;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR06;New ECO;42827761;Brown (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33701659;42815790;42815889;FCP605XL;;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR06;New ECO;42827761;Brown (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33701678;42815790;42815889;FCP605X;;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR06;New ECO;42827761;Brown (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33701798;42822308;41007113;FCS 602 X;;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR06;New ECO;42817501;Yellow Glasswool  (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
